table_type,level_code,id,parent_id,order,title,grade_level,description,overview,big_ideas,standards,standards_summary,academic_vocabulary,common_misconceptions,concepts,duration_days,dok_level,default_difficulty,aligned_standards,source_file_id,source_modified,version_note
subtopic,EM9_INT,em9int_m2_s2,em9int_m2,2,Vertical Slice Tasks,,,,,,,,,,,3,hard,"[""F-BF.1"", ""A-SSE.3""]",,,
subtopic,EM9_INT,em9int_m2_s3,em9int_m2,3,Trapezoidal Numbers / Patterns Tasks,,,,,,,,,,,3,hard,"[""F-BF.1""]",,,
subtopic,EM9_INT,em9int_m2_s4,em9int_m2,4,Linda's Tiles,,,,,,,,,,,3,hard,"[""F-BF.1""]",,,
subtopic,EM9_INT,em9int_m3_s1,em9int_m3,1,Skateboarding Tricks (Introduction to Transformations),,,,,,,,,,,2,medium,"[""G-CO.2""]",,,
subtopic,EM9_INT,em9int_m3_s2,em9int_m3,2,"Transformations Explorations 1-6 (Translation, Reflection, Rotation, Review)",,,,,,,,,,,2,medium,"[""G-CO.2"", ""G-CO.3"", ""G-CO.5""]",,,
subtopic,EM9_INT,em9int_m3_s3,em9int_m3,3,Transforming 2D Figures (FAL),,,,,,,,,,,3,hard,"[""G-CO.5""]",,,
subtopic,EM9_INT,em9int_m3_s4,em9int_m3,4,Rigid Motion and Transforming Triangles,,,,,,,,,,,3,hard,"[""G-CO.2"", ""G-CO.5""]",,,
subtopic,EM9_INT,em9int_m3_s5,em9int_m3,5,MC Escher & Reflect and Rotate (Optional),,,,,,,,,,,3,hard,"[""G-CO.3"", ""G-CO.5""]",,,
subtopic,EM9_INT,em9int_m4_s1,em9int_m4,1,Solving Linear Equations (FAL Launch),,,,,,,,,,,2,medium,"[""A-REI.1"", ""A-REI.3""]",,,
subtopic,EM9_INT,em9int_m4_s2,em9int_m4,2,Classifying Solutions to Systems of Equations (Core FAL),,,,,,,,,,,3,hard,"[""A-REI.6""]",,,
subtopic,EM9_INT,em9int_m4_s3,em9int_m4,3,Words & Equations,,,,,,,,,,,2,medium,"[""A-REI.1""]",,,
subtopic,EM9_INT,em9int_m4_s4,em9int_m4,4,The Trip / Buying Chips and Candy (Systems Tasks),,,,,,,,,,,3,hard,"[""A-REI.6""]",,,
