table_type,level_code,id,subtopic_id,question_type,difficulty,dok,prompt,answer,source,source_url,source_activity_id,data_talk_type,title,data_source,big_idea_cluster
exemplar,EM3,em3_ex_013,em3_m2_s2,math_talk_prompt,medium,2,Solve 22 ÷ 2,,math_talk,,em3_m2_d5_mt,,,,
exemplar,EM3,em3_ex_014,em3_m2_s2,math_talk_prompt,medium,2,"6 x 2 = 12, so 2 x __ = 12. Explain how you know.",,math_talk,,em3_m2_d6_mt,,,,
exemplar,EM3,em3_ex_015,em3_m2_s2,math_talk_prompt,medium,2,Solve 32 ÷ 4,,math_talk,,em3_m2_d7_mt,,,,
exemplar,EM3,em3_ex_016,em3_m2_s2,math_talk_prompt,medium,2,Solve 36 ÷ x = 3,,math_talk,,em3_m2_d8_mt,,,,
exemplar,EM4,em4_ex_001,em4_m1_s1,math_talk_prompt,medium,2,How many different ways can you compose the number 452?,,math_talk,,em4_m1_d1_mt,,,,
exemplar,EM4,em4_ex_002,em4_m1_s1,math_talk_prompt,medium,2,"How many different ways can you compose the number 1,268?",,math_talk,,em4_m1_d2_mt,,,,
exemplar,EM4,em4_ex_003,em4_m1_s2,math_talk_prompt,medium,2,Solve 12 X 10. How did you solve it?,,math_talk,,em4_m1_d3_mt,,,,
exemplar,EM4,em4_ex_004,em4_m1_s2,math_talk_prompt,medium,2,The product of two factors is 36. What are the two factors? How did you solve it?,,math_talk,,em4_m1_d4_mt,,,,
exemplar,EM4,em4_ex_005,em4_m1_s2,math_talk_prompt,medium,2,4 x 10 = ; 4 x 50 = ; 4 x 100 = ; 4 x 160 = . How did you solve it?,,math_talk,,em4_m1_d5_mt,,,,
exemplar,EM4,em4_ex_006,em4_m1_s3,math_talk_prompt,medium,2,"12 ÷ 4 = ; 120 ÷ 4 = ; 1,200 ÷ 4 = ; 12,000 ÷ 4 = . How did you solve it?",,math_talk,,em4_m1_d6_mt,,,,
exemplar,EM4,em4_ex_007,em4_m1_s3,math_talk_prompt,medium,2,A number divided by 80 has a quotient of 7. What is the number? How did you solve it?,,math_talk,,em4_m1_d7_mt,,,,
exemplar,EM4,em4_ex_008,em4_m1_s3,math_talk_prompt,medium,2,150 ÷ 15 = ; 300 ÷ 15 = . How did you solve it?,,math_talk,,em4_m1_d8_mt,,,,
exemplar,EM4,em4_ex_009,em4_m2_s1,math_talk_prompt,medium,2,What fraction of the pie is gone? How do you know?,,math_talk,,em4_m2_d1_mt,,,,
exemplar,EM4,em4_ex_010,em4_m2_s1,math_talk_prompt,medium,2,Is ½ the same as 2/4?,,math_talk,,em4_m2_d2_mt,,,,
exemplar,EM4,em4_ex_011,em4_m2_s2,math_talk_prompt,medium,2,"Which is less, how do you know? 4/7 or 5/7",,math_talk,,em4_m2_d3_mt,,,,
exemplar,EM4,em4_ex_012,em4_m2_s2,math_talk_prompt,medium,2,Less than or more than 1/2,,math_talk,,em4_m2_d4_mt,,,,
exemplar,EM4,em4_ex_013,em4_m2_s2,math_talk_prompt,medium,2,"Which is more, how do you know? 3/5 or 3/7",,math_talk,,em4_m2_d5_mt,,,,
exemplar,EM4,em4_ex_014,em4_m2_s3,math_talk_prompt,medium,2,"Which does not belong? 1/3, 1/2",,math_talk,,em4_m2_d6_mt,,,,
exemplar,EM4,em4_ex_015,em4_m2_s3,math_talk_prompt,medium,2,"Are these two drawings equal? 1/3, 2/6",,math_talk,,em4_m2_d7_mt,,,,
exemplar,EM4,em4_ex_016,em4_m2_s3,math_talk_prompt,medium,2,"Which is more, how do you know? 3/5 or 5/10? What strategy did you use?",,math_talk,,em4_m2_d8_mt,,,,
exemplar,EM5,em5_ex_001,em5_m1_s1,math_talk_prompt,medium,2,What is the difference between 0.1 and 0.01?,,math_talk,,em5_m1_d1_mt,,,,
exemplar,EM5,em5_ex_002,em5_m1_s1,math_talk_prompt,medium,2,Difference in tenths and hundredths in 0.111,,math_talk,,em5_m1_d2_mt,,,,
exemplar,EM5,em5_ex_003,em5_m1_s2,math_talk_prompt,medium,2,24.25 + 16.75 =,,math_talk,,em5_m1_d3_mt,,,,
exemplar,EM5,em5_ex_004,em5_m1_s2,math_talk_prompt,medium,2,24.50 - 16.25 =,,math_talk,,em5_m1_d4_mt,,,,
exemplar,EM5,em5_ex_005,em5_m1_s2,math_talk_prompt,medium,2,9 - 4.8 =,,math_talk,,em5_m1_d5_mt,,,,
exemplar,EM5,em5_ex_006,em5_m1_s2,math_talk_prompt,medium,2,"True or False: The more digits a number has, the larger it is.",,math_talk,,em5_m1_d6_mt,,,,
exemplar,EM5,em5_ex_007,em5_m1_s3,math_talk_prompt,medium,2,What is something you know about the fraction 1/2?,,math_talk,,em5_m1_d7_mt,,,,
exemplar,EM5,em5_ex_008,em5_m1_s3,math_talk_prompt,medium,2,What is a fraction that is greater than 1/2 but less than 1?,,math_talk,,em5_m1_d8_mt,,,,
exemplar,EM5,em5_ex_009,em5_m2_s1,math_talk_prompt,medium,2,3/4 + 1/4 of pie,,math_talk,,em5_m2_d1_mt,,,,
exemplar,EM5,em5_ex_010,em5_m2_s2,math_talk_prompt,medium,2,What fraction could be equivalent to 3/4?,,math_talk,,em5_m2_d2_mt,,,,
exemplar,EM5,em5_ex_011,em5_m2_s3,math_talk_prompt,medium,2,"Notice and categorize 8/4, 2/3, 10/5, 6/3 and 4/6",,math_talk,,em5_m2_d3_mt,,,,
exemplar,EM5,em5_ex_012,em5_m2_s4,math_talk_prompt,medium,2,6/12 is the answer. What was the question?,,math_talk,,em5_m2_d4_mt,,,,
exemplar,EM5,em5_ex_013,em5_m2_s5,math_talk_prompt,medium,2,Triple 2/3 cup of sugar,,math_talk,,em5_m2_d5_mt,,,,
exemplar,EM5,em5_ex_014,em5_m2_s6,math_talk_prompt,medium,2,"Friends each eat 3/4 of a whole Kit Kat bar, how many 1/4's did they eat all together?",,math_talk,,em5_m2_d6_mt,,,,
exemplar,EM5,em5_ex_015,em5_m2_s6,math_talk_prompt,medium,2,"If 1/4 of 24 is 6 and 1/2 of 24 is 12, what is 3/4 of 24? How do you know? Prove it.",,math_talk,,em5_m2_d7_mt,,,,
exemplar,EM5,em5_ex_016,em5_m2_s6,math_talk_prompt,medium,2,How many 1/4 are in 4?,,math_talk,,em5_m2_d8_mt,,,,
exemplar,EM5,em5_ex_017,em5_m3_s1,math_talk_prompt,medium,2,"How much space will a box that is 2 units high, 3 units wide, and 4 units long take?",,math_talk,,em5_m3_d1_mt,,,,
exemplar,EM5,em5_ex_018,em5_m3_s1,math_talk_prompt,medium,2,"If a box can hold 60 cubic units, what could its length, width and height be?",,math_talk,,em5_m3_d2_mt,,,,
exemplar,EM5,em5_ex_019,em5_m3_s1,math_talk_prompt,medium,2,A student built a tower that had a base of 12 inches and a height of 4 inches. V=?,,math_talk,,em5_m3_d3_mt,,,,
exemplar,EM5,em5_ex_020,em5_m3_s1,math_talk_prompt,medium,2,3 boxes of the same volume each have a base of 14 inches and a height of 4 inches.,,math_talk,,em5_m3_d4_mt,,,,
exemplar,EM5,em5_ex_021,em5_m3_s1,math_talk_prompt,medium,2,Which box will have the greater volume?,,math_talk,,em5_m3_d5_mt,,,,
exemplar,EM5,em5_ex_022,em5_m3_s2,math_talk_prompt,medium,2,What could be the dimensions of a box that has a volume of 36 cubic units?,,math_talk,,em5_m3_d6_mt,,,,
exemplar,EM5,em5_ex_023,em5_m3_s2,math_talk_prompt,medium,2,"What is the height of a box if its volume is 60 cubic cm, L=5 cm and width=3 cm?",,math_talk,,em5_m3_d7_mt,,,,
exemplar,EM5,em5_ex_024,em5_m3_s2,math_talk_prompt,medium,2,Student A says 5 in. X 4 in. X 2 in. equals a volume of 40 cubic inches.,,math_talk,,em5_m3_d8_mt,,,,
exemplar,EM6,em6_ex_001,,dot_talk,medium,2,Dot Talk #1,,dot_talk,,em6_m1_d2_dt,,,,
exemplar,EM6,em6_ex_002,,math_talk_prompt,medium,2,Math Talk 1,,math_talk,,em6_m1_d2_mt,,,,
exemplar,EM6,em6_ex_003,,dot_talk,medium,2,Dot Talk #2,,dot_talk,,em6_m1_d3_dt,,,,
exemplar,EM6,em6_ex_004,em6_m1_s1,math_talk_prompt,medium,2,Math Talk 2,,math_talk,,em6_m1_d3_mt,,,,
exemplar,EM6,em6_ex_005,,dot_talk,medium,2,Dot Talk #3,,dot_talk,,em6_m1_d4_dt,,,,
exemplar,EM6,em6_ex_006,em6_m1_s2,math_talk_prompt,medium,2,Math Talk 3,,math_talk,,em6_m1_d4_mt,,,,
exemplar,EM6,em6_ex_007,,dot_talk,medium,2,Dot Talk #4,,dot_talk,,em6_m1_d5_dt,,,,
exemplar,EM6,em6_ex_008,em6_m1_s3,math_talk_prompt,medium,2,Math Talk 4,,math_talk,,em6_m1_d5_mt,,,,
exemplar,EM6,em6_ex_009,,dot_talk,medium,2,Dot Talk #5,,dot_talk,,em6_m1_d6_dt,,,,
exemplar,EM6,em6_ex_010,em6_m1_s4,math_talk_prompt,medium,2,Math Talk 5,,math_talk,,em6_m1_d6_mt,,,,
exemplar,EM6,em6_ex_011,,dot_talk,medium,2,Dot Talk #6,,dot_talk,,em6_m1_d7_dt,,,,
exemplar,EM6,em6_ex_012,em6_m1_s5,math_talk_prompt,medium,2,Math Talk 6,,math_talk,,em6_m1_d7_mt,,,,
exemplar,EM6,em6_ex_013,,dot_talk,medium,2,Dot Talk #7,,dot_talk,,em6_m1_d8_dt,,,,
exemplar,EM6,em6_ex_014,em6_m1_s6,math_talk_prompt,medium,2,Math Talk 7,,math_talk,,em6_m1_d8_mt,,,,
exemplar,EM6,em6_ex_015,,dot_talk,medium,2,Dot talk #8,,dot_talk,,em6_m1_d9_dt,,,,
exemplar,EM6,em6_ex_016,em6_m1_s7,math_talk_prompt,medium,2,Math Talk 8,,math_talk,,em6_m1_d9_mt,,,,
exemplar,EM6,em6_ex_017,,dot_talk,medium,2,Dot Talk #9,,dot_talk,,em6_m1_d10_dt,,,,
exemplar,EM6,em6_ex_018,em6_m1_s8,math_talk_prompt,medium,2,Math Talk 9,,math_talk,,em6_m1_d10_mt,,,,
exemplar,EM6,em6_ex_019,,number_talk,medium,2,Number Talk #2,,number_talk,,em6_m2_d11_nt,,,,
exemplar,EM6,em6_ex_020,em6_m2_s1,math_talk_prompt,medium,2,Math Talk Day 10,,math_talk,,em6_m2_d11_mt,,,,
exemplar,EM6,em6_ex_021,,number_talk,medium,2,Number Talk #3,,number_talk,,em6_m2_d12_nt,,,,
exemplar,EM6,em6_ex_022,em6_m2_s2,math_talk_prompt,medium,2,Math Talk Day 11,,math_talk,,em6_m2_d12_mt,,,,
exemplar,EM6,em6_ex_023,,number_talk,medium,2,Number Talk #4,,number_talk,,em6_m2_d13_nt,,,,
exemplar,EM6,em6_ex_024,em6_m2_s3,math_talk_prompt,medium,2,Math Talk Day 12,,math_talk,,em6_m2_d13_mt,,,,
exemplar,EM6,em6_ex_025,,number_talk,medium,2,Number Talk #5,,number_talk,,em6_m2_d14_nt,,,,
exemplar,EM6,em6_ex_026,em6_m2_s4,math_talk_prompt,medium,2,Math Talk Day 13,,math_talk,,em6_m2_d14_mt,,,,
exemplar,EM6,em6_ex_027,,number_talk,medium,2,Number Talk #6,,number_talk,,em6_m2_d15_nt,,,,
exemplar,EM6,em6_ex_028,em6_m2_s5,math_talk_prompt,medium,2,Math Talk Day 14,,math_talk,,em6_m2_d15_mt,,,,
exemplar,EM6,em6_ex_029,,number_talk,medium,2,Number Talk #7,,number_talk,,em6_m2_d16_nt,,,,
exemplar,EM6,em6_ex_030,em6_m2_s6,math_talk_prompt,medium,2,Math Talk Day 15,,math_talk,,em6_m2_d16_mt,,,,
exemplar,EM6,em6_ex_031,,number_talk,medium,2,Number Talk #8,,number_talk,,em6_m2_d17_nt,,,,
exemplar,EM6,em6_ex_032,em6_m2_s7,math_talk_prompt,medium,2,Math Talk Day 16,,math_talk,,em6_m2_d17_mt,,,,
exemplar,EM6,em6_ex_033,,number_talk,medium,2,Number Talk #9,,number_talk,,em6_m2_d18_nt,,,,
exemplar,EM6,em6_ex_034,em6_m2_s8,math_talk_prompt,medium,2,Math Talk Day 17,,math_talk,,em6_m2_d18_mt,,,,
exemplar,EM6,em6_ex_035,,number_talk,medium,2,Number Talk #10,,number_talk,,em6_m2_d19_nt,,,,
exemplar,EM6,em6_ex_036,,math_talk_prompt,medium,2,Data Talk #1: Sleuthing Slang,,math_talk,,em6_m2_d19_mt,,,,
exemplar,EM7,em7_ex_001,,dot_talk,medium,2,Dot Talk #1,,dot_talk,,em7_m1_d1_dt,,,,
exemplar,EM7,em7_ex_002,,math_talk_prompt,medium,2,Number Talk #1,,math_talk,,em7_m1_d1_mt,,,,
exemplar,EM7,em7_ex_003,,dot_talk,medium,2,Dot Talk #2,,dot_talk,,em7_m1_d2_dt,,,,
exemplar,EM7,em7_ex_004,em7_m1_s1,math_talk_prompt,medium,2,Number Talk #2,,math_talk,,em7_m1_d2_mt,,,,
exemplar,EM7,em7_ex_005,,dot_talk,medium,2,Dot Talk #3,,dot_talk,,em7_m1_d3_dt,,,,
exemplar,EM7,em7_ex_006,em7_m1_s2,math_talk_prompt,medium,2,Number Talk #3,,math_talk,,em7_m1_d3_mt,,,,
exemplar,EM7,em7_ex_007,,dot_talk,medium,2,Dot Talk #4,,dot_talk,,em7_m1_d4_dt,,,,
exemplar,EM7,em7_ex_008,em7_m1_s3,math_talk_prompt,medium,2,Number Talk #4,,math_talk,,em7_m1_d4_mt,,,,
exemplar,EM7,em7_ex_009,,dot_talk,medium,2,Dot Talk #5,,dot_talk,,em7_m1_d5_dt,,,,
exemplar,EM7,em7_ex_010,em7_m1_s4,math_talk_prompt,medium,2,Number Talk #5,,math_talk,,em7_m1_d5_mt,,,,
exemplar,EM7,em7_ex_011,,dot_talk,medium,2,Dot Talk #6,,dot_talk,,em7_m1_d6_dt,,,,
exemplar,EM7,em7_ex_012,em7_m1_s5,math_talk_prompt,medium,2,Number Talk #6,,math_talk,,em7_m1_d6_mt,,,,
exemplar,EM7,em7_ex_013,,dot_talk,medium,2,Dot Talk #7,,dot_talk,,em7_m1_d7_dt,,,,
exemplar,EM7,em7_ex_014,em7_m1_s6,math_talk_prompt,medium,2,Dilemma,,math_talk,,em7_m1_d7_mt,,,,
exemplar,EM7,em7_ex_015,,dot_talk,medium,2,Dot Talk #8,,dot_talk,,em7_m1_d8_dt,,,,
exemplar,EM7,em7_ex_016,em7_m1_s7,math_talk_prompt,medium,2,2 Truths and 1 Lie,,math_talk,,em7_m1_d8_mt,,,,
exemplar,EM7,em7_ex_017,,number_talk,medium,2,50% of 20,,number_talk,,em7_m2_d11_nt,,,,
exemplar,EM7,em7_ex_018,em7_m2_s1,math_talk_prompt,medium,2,Number Talk Day 11,,math_talk,,em7_m2_d11_mt,,,,
exemplar,EM7,em7_ex_019,,number_talk,medium,2,25% of 20,,number_talk,,em7_m2_d12_nt,,,,
exemplar,EM7,em7_ex_020,em7_m2_s2,math_talk_prompt,medium,2,Number Talk Day 12,,math_talk,,em7_m2_d12_mt,,,,
exemplar,EM7,em7_ex_021,,number_talk,medium,2,10% of 50,,number_talk,,em7_m2_d13_nt,,,,
exemplar,EM7,em7_ex_022,em7_m2_s3,math_talk_prompt,medium,2,Agree or Disagree,,math_talk,,em7_m2_d13_mt,,,,
exemplar,EM7,em7_ex_023,,number_talk,medium,2,20% of 50,,number_talk,,em7_m2_d14_nt,,,,
exemplar,EM7,em7_ex_024,em7_m2_s4,math_talk_prompt,medium,2,2 Truths and 1 Lie,,math_talk,,em7_m2_d14_mt,,,,
exemplar,EM7,em7_ex_025,,number_talk,medium,2,30% of 50,,number_talk,,em7_m2_d15_nt,,,,
exemplar,EM7,em7_ex_026,em7_m2_s5,math_talk_prompt,medium,2,2 Truths and 1 Lie,,math_talk,,em7_m2_d15_mt,,,,
exemplar,EM7,em7_ex_027,,number_talk,medium,2,25% of 40,,number_talk,,em7_m2_d16_nt,,,,
exemplar,EM7,em7_ex_028,em7_m2_s6,math_talk_prompt,medium,2,Number Talk Day 16,,math_talk,,em7_m2_d16_mt,,,,
exemplar,EM7,em7_ex_029,,number_talk,medium,2,75% of 40,,number_talk,,em7_m2_d17_nt,,,,
exemplar,EM7,em7_ex_030,em7_m2_s7,math_talk_prompt,medium,2,Number Talk Day 17,,math_talk,,em7_m2_d17_mt,,,,
exemplar,EM7,em7_ex_031,,number_talk,medium,2,150% of 40,,number_talk,,em7_m2_d18_nt,,,,
exemplar,EM7,em7_ex_032,em7_m2_s8,math_talk_prompt,medium,2,Number Talk Day 18,,math_talk,,em7_m2_d18_mt,,,,
exemplar,EM7,em7_ex_033,,number_talk,medium,2,110% of 20,,number_talk,,em7_m2_d19_nt,,,,
exemplar,EM7,em7_ex_034,,math_talk_prompt,medium,2,Data Talk #2: You Pick,,math_talk,,em7_m2_d19_mt,,,,
exemplar,EM8,em8_ex_001,,dot_talk,medium,2,Dot Talk #1,,dot_talk,,em8_m1_d1_dt,,,,
exemplar,EM8,em8_ex_002,,dot_talk,medium,2,Dot Talk #2,,dot_talk,,em8_m1_d2_dt,,,,
exemplar,EM8,em8_ex_003,em8_m1_s1,math_talk_prompt,medium,2,Dilemma,,math_talk,,em8_m1_d2_mt,,,,
exemplar,EM8,em8_ex_004,,dot_talk,medium,2,Dot Talk #3,,dot_talk,,em8_m1_d3_dt,,,,
exemplar,EM8,em8_ex_005,,dot_talk,medium,2,Dot Talk #4,,dot_talk,,em8_m1_d4_dt,,,,
exemplar,EM8,em8_ex_006,,dot_talk,medium,2,Dot Talk #5,,dot_talk,,em8_m1_d5_dt,,,,
exemplar,EM8,em8_ex_007,em8_m1_s4,math_talk_prompt,medium,2,Growing Pattern,,math_talk,,em8_m1_d5_mt,,,,
exemplar,EM8,em8_ex_008,,dot_talk,medium,2,Dot Talk #6,,dot_talk,,em8_m1_d6_dt,,,,
exemplar,EM8,em8_ex_009,em8_m1_s5,math_talk_prompt,medium,2,2 Lies & A Truth,,math_talk,,em8_m1_d6_mt,,,,
exemplar,EM8,em8_ex_010,,dot_talk,medium,2,Dot Talk #7,,dot_talk,,em8_m1_d7_dt,,,,
exemplar,EM8,em8_ex_011,em8_m1_s6,math_talk_prompt,medium,2,2 Lies & A Truth,,math_talk,,em8_m1_d7_mt,,,,
exemplar,EM8,em8_ex_012,,dot_talk,medium,2,Dot Talk #8,,dot_talk,,em8_m1_d8_dt,,,,
exemplar,EM8,em8_ex_013,em8_m1_s7,math_talk_prompt,medium,2,Growing Pattern,,math_talk,,em8_m1_d8_mt,,,,
exemplar,EM8,em8_ex_014,,dot_talk,medium,2,Dot Talk #9,,dot_talk,,em8_m1_d9_dt,,,,
exemplar,EM8,em8_ex_015,em8_m1_s8,math_talk_prompt,medium,2,Growing Pattern,,math_talk,,em8_m1_d9_mt,,,,
exemplar,EM8,em8_ex_016,,number_talk,medium,2,Number Talk #1,,number_talk,,em8_m1_d10_dt,,,,
exemplar,EM8,em8_ex_017,,data_talk,medium,2,"Data Talk #1: 50,000 Minutes",,data_talk,,em8_m1_d10_mt,,,,
exemplar,EM8,em8_ex_018,,number_talk,medium,2,Number Talk #2,,number_talk,,em8_m2_d11_nt,,,,
exemplar,EM8,em8_ex_019,,number_talk,medium,2,Number Talk #3,,number_talk,,em8_m2_d12_nt,,,,
exemplar,EM8,em8_ex_020,em8_m2_s2,math_talk_prompt,medium,2,True or False,,math_talk,,em8_m2_d12_mt,,,,
exemplar,EM8,em8_ex_021,,number_talk,medium,2,Number Talk #4,,number_talk,,em8_m2_d13_nt,,,,
exemplar,EM8,em8_ex_022,em8_m2_s3,math_talk_prompt,medium,2,True or False,,math_talk,,em8_m2_d13_mt,,,,
exemplar,EM8,em8_ex_023,,number_talk,medium,2,Number Talk #5,,number_talk,,em8_m2_d14_nt,,,,
exemplar,EM8,em8_ex_024,em8_m2_s4,math_talk_prompt,medium,2,True or False,,math_talk,,em8_m2_d14_mt,,,,
exemplar,EM8,em8_ex_025,,number_talk,medium,2,Number Talk #6,,number_talk,,em8_m2_d15_nt,,,,
exemplar,EM8,em8_ex_026,em8_m2_s5,math_talk_prompt,medium,2,Dilemma,,math_talk,,em8_m2_d15_mt,,,,
exemplar,EM8,em8_ex_027,,number_talk,medium,2,Number Talk #7,,number_talk,,em8_m2_d16_nt,,,,
exemplar,EM8,em8_ex_028,em8_m2_s6,math_talk_prompt,medium,2,2 Truths & A Lie,,math_talk,,em8_m2_d16_mt,,,,
exemplar,EM8,em8_ex_029,,number_talk,medium,2,Number Talk #8,,number_talk,,em8_m2_d17_nt,,,,
exemplar,EM8,em8_ex_030,em8_m2_s7,math_talk_prompt,medium,2,2 Lies & A Truth,,math_talk,,em8_m2_d17_mt,,,,
exemplar,EM8,em8_ex_031,,number_talk,medium,2,Number Talk #9,,number_talk,,em8_m2_d18_nt,,,,
exemplar,EM8,em8_ex_032,em8_m2_s8,math_talk_prompt,medium,2,2 Truths & A Lie,,math_talk,,em8_m2_d18_mt,,,,
exemplar,EM8,em8_ex_033,,number_talk,medium,2,Number Talk #10,,number_talk,,em8_m2_d19_nt,,,,
exemplar,EM8,em8_ex_034,,data_talk,medium,2,Data Talk #2: You Pick,,data_talk,,em8_m2_d19_mt,,,,
exemplar,EM9_ALG1,em9a1_ex_001,em9a1_m1_s1,performance_task,hard,3,Driving Task,,performance_task,,em9a1_m1_d1_performance_task_9169,,,,
exemplar,EM9_ALG1,em9a1_ex_002,em9a1_m1_s2,performance_task,hard,3,Linear Linkages Task,,performance_task,,em9a1_m1_d2_performance_task_9108,,,,
exemplar,EM9_ALG1,em9a1_ex_003,,fal_pre_assessment,medium,3,Pre Assessment 'Four Situations' — FAL: Representing Functions of Everyday Situations,,fal_pre_assessment,,em9a1_m1_d2_fal_pre_assessment_7711,,,,
exemplar,EM9_ALG1,em9a1_ex_004,em9a1_m1_s2,performance_task,hard,3,Linear Graphs Task,,performance_task,,em9a1_m1_d3_performance_task_6048,,,,
exemplar,EM9_ALG1,em9a1_ex_005,em9a1_m1_s4,performance_task,hard,3,Veggie Franchise Task (Nearpod*),,performance_task,,em9a1_m1_d6_performance_task_8795,,,,
exemplar,EM9_ALG1,em9a1_ex_006,em9a1_m1_s3,performance_task,hard,3,How Old Are They? Task (Additional/Optional),,additional_performance_task,,em9a1_m1_additional_how_old,,,,
exemplar,EM9_ALG1,em9a1_ex_007,em9a1_m2_s1,performance_task,hard,3,Patchwork Quilt Task,,performance_task,,em9a1_m2_d1_performance_task_7831,,,,
exemplar,EM9_ALG1,em9a1_ex_008,,fal_pre_assessment,medium,3,"Pre-Assessment 'The Guitar Class' — FAL #2: Matching Situations, Graphs, and Linear Equations",,fal_pre_assessment,,em9a1_m2_d1_fal_pre_assessment_8854,,,,
exemplar,EM9_ALG1,em9a1_ex_009,em9a1_m2_s2,performance_task,hard,3,Square Patterns Task,,performance_task,,em9a1_m2_d2_performance_task_8701,,,,
exemplar,EM9_ALG1,em9a1_ex_010,em9a1_m2_s2,performance_task,hard,3,Vacations Task,,performance_task,,em9a1_m2_d2_performance_task_4212,,,,
exemplar,EM9_ALG1,em9a1_ex_011,em9a1_m2_s3,performance_task,hard,3,The Allowance Task,,performance_task,,em9a1_m2_d6_performance_task_6490,,,,
exemplar,EM9_ALG1,em9a1_ex_012,em9a1_m2_s3,performance_task,hard,3,End of Year Dinner Task (Additional/Optional),,additional_performance_task,,em9a1_m2_additional_85,,,,
exemplar,EM9_ALG1,em9a1_ex_013,em9a1_m2_s2,performance_task,hard,3,Patrick's Pattern Task (Additional/Optional),,additional_performance_task,,em9a1_m2_additional_100,,,,
exemplar,EM9_ALG1,em9a1_ex_014,em9a1_m3_s1,performance_task,hard,3,Words and Equations Task,,performance_task,,em9a1_m3_d1_performance_task_6166,,,,
exemplar,EM9_ALG1,em9a1_ex_015,,fal_pre_assessment,medium,3,Pre-Assessment 'Working with Linear Equations' — FAL #3: Classifying Solutions to Systems of Equations,,fal_pre_assessment,,em9a1_m3_d1_fal_pre_assessment_754,,,,
exemplar,EM9_ALG1,em9a1_ex_016,em9a1_m3_s1,performance_task,hard,3,Scott's Equations Task,,performance_task,,em9a1_m3_d2_performance_task_3914,,,,
exemplar,EM9_ALG1,em9a1_ex_017,em9a1_m3_s2,performance_task,hard,3,Meal Out Task,,performance_task,,em9a1_m3_d2_performance_task_6627,,,,
exemplar,EM9_ALG1,em9a1_ex_018,em9a1_m3_s3,performance_task,hard,3,Cell Phone Plan Task (Nearpod*),,performance_task,,em9a1_m3_d6_performance_task_1445,,,,
exemplar,EM9_ALG1,em9a1_ex_019,em9a1_m3_s2,performance_task,hard,3,The Trip Task (Additional/Optional),,additional_performance_task,,em9a1_m3_additional_8394,,,,
exemplar,EM9_ALG1,em9a1_ex_020,em9a1_m3_s3,performance_task,hard,3,Buying Chips and Candy Task (Additional/Optional),,additional_performance_task,,em9a1_m3_additional_8163,,,,
data_talk,EM9_ALG1,em9a1_dt_01,,,,,,,,,,What's Going On In This Graph?,AI Regulation,NYT,Investigate Data/Variability
data_talk,EM9_ALG1,em9a1_dt_02,,,,,,,,,,Notice/Wonder Data Visualization,One Through Ten,YouCubed,Model With Functions/Geospacial Data
data_talk,EM9_ALG1,em9a1_dt_03,,,,,,,,,,Slow Reveal,FIFA World Cup Appearances,Slides,Investigate Data/Fairness in Data
data_talk,EM9_ALG1,em9a1_dt_04,,,,,,,,,,Notice/Wonder Data Visualization,Dice Sums,YouCubed,Model With Functions
data_talk,EM9_ALG1,em9a1_dt_05,,,,,,,,,,Slow Reveal,Love/Hate in Song Lyrics,Slides,Growth and Decay
data_talk,EM9_ALG1,em9a1_dt_06,,,,,,,,,,What's Going On In This Graph?,Hotter Summers,NYT,Growth and Decay/The Shape of Distributions
